"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"TotaalVerdachtenVanMisdrijven_1"
"7484";"T001038";"52020";"T001040";"2820719";"2019JJ00";"420"
"7485";"T001038";"52020";"T001040";"2820719";"2020JJ00";"330"
"7486";"T001038";"52020";"T001040";"2820719";"2021JJ00";"360"
"7487";"T001038";"52020";"T001040";"2820719";"2022JJ00";"570"
"7501";"T001038";"52020";"1012600";"T001040";"2012JJ00";"16870"
"7502";"T001038";"52020";"1012600";"T001040";"2013JJ00";"13710"
"7503";"T001038";"52020";"1012600";"T001040";"2014JJ00";"12750"
"7504";"T001038";"52020";"1012600";"T001040";"2015JJ00";"11980"
"7505";"T001038";"52020";"1012600";"T001040";"2016JJ00";"11390"
"7506";"T001038";"52020";"1012600";"T001040";"2017JJ00";"10640"
"7507";"T001038";"52020";"1012600";"T001040";"2018JJ00";"9200"
"7508";"T001038";"52020";"1012600";"T001040";"2019JJ00";"10150"
"7509";"T001038";"52020";"1012600";"T001040";"2020JJ00";"8830"
"7510";"T001038";"52020";"1012600";"T001040";"2021JJ00";"8710"
"7511";"T001038";"52020";"1012600";"T001040";"2022JJ00";"9580"
"7525";"T001038";"52020";"1012600";"2013356";"2012JJ00";
"7526";"T001038";"52020";"1012600";"2013356";"2013JJ00";
"7527";"T001038";"52020";"1012600";"2013356";"2014JJ00";
"7528";"T001038";"52020";"1012600";"2013356";"2015JJ00";
"7529";"T001038";"52020";"1012600";"2013356";"2016JJ00";
"7530";"T001038";"52020";"1012600";"2013356";"2017JJ00";
"7531";"T001038";"52020";"1012600";"2013356";"2018JJ00";
"7532";"T001038";"52020";"1012600";"2013356";"2019JJ00";
"7533";"T001038";"52020";"1012600";"2013356";"2020JJ00";
"7534";"T001038";"52020";"1012600";"2013356";"2021JJ00";
"7535";"T001038";"52020";"1012600";"2013356";"2022JJ00";
"7549";"T001038";"52020";"1012600";"2013357";"2012JJ00";
"7550";"T001038";"52020";"1012600";"2013357";"2013JJ00";
"7551";"T001038";"52020";"1012600";"2013357";"2014JJ00";
"7552";"T001038";"52020";"1012600";"2013357";"2015JJ00";
"7553";"T001038";"52020";"1012600";"2013357";"2016JJ00";
"7554";"T001038";"52020";"1012600";"2013357";"2017JJ00";
"7555";"T001038";"52020";"1012600";"2013357";"2018JJ00";
"7556";"T001038";"52020";"1012600";"2013357";"2019JJ00";
"7557";"T001038";"52020";"1012600";"2013357";"2020JJ00";
"7558";"T001038";"52020";"1012600";"2013357";"2021JJ00";
"7559";"T001038";"52020";"1012600";"2013357";"2022JJ00";
"7573";"T001038";"52020";"1012600";"2820719";"2012JJ00";
"7574";"T001038";"52020";"1012600";"2820719";"2013JJ00";
"7575";"T001038";"52020";"1012600";"2820719";"2014JJ00";
"7576";"T001038";"52020";"1012600";"2820719";"2015JJ00";
"7577";"T001038";"52020";"1012600";"2820719";"2016JJ00";
"7578";"T001038";"52020";"1012600";"2820719";"2017JJ00";
"7579";"T001038";"52020";"1012600";"2820719";"2018JJ00";
"7580";"T001038";"52020";"1012600";"2820719";"2019JJ00";
"7581";"T001038";"52020";"1012600";"2820719";"2020JJ00";
"7582";"T001038";"52020";"1012600";"2820719";"2021JJ00";
"7583";"T001038";"52020";"1012600";"2820719";"2022JJ00";
"7597";"T001038";"52020";"2012605";"T001040";"2012JJ00";"13560"
"7598";"T001038";"52020";"2012605";"T001040";"2013JJ00";"12080"
"7599";"T001038";"52020";"2012605";"T001040";"2014JJ00";"11090"
"7600";"T001038";"52020";"2012605";"T001040";"2015JJ00";"10970"
"7601";"T001038";"52020";"2012605";"T001040";"2016JJ00";"9960"
"7602";"T001038";"52020";"2012605";"T001040";"2017JJ00";"8620"
"7603";"T001038";"52020";"2012605";"T001040";"2018JJ00";"7850"
"7604";"T001038";"52020";"2012605";"T001040";"2019JJ00";"8770"
"7605";"T001038";"52020";"2012605";"T001040";"2020JJ00";"7510"
"7606";"T001038";"52020";"2012605";"T001040";"2021JJ00";"6880"
"7607";"T001038";"52020";"2012605";"T001040";"2022JJ00";"7880"
"7621";"T001038";"52020";"2012605";"2013356";"2012JJ00";"2760"
"7622";"T001038";"52020";"2012605";"2013356";"2013JJ00";"2240"
"7623";"T001038";"52020";"2012605";"2013356";"2014JJ00";"1980"
"7624";"T001038";"52020";"2012605";"2013356";"2015JJ00";"1880"
"7625";"T001038";"52020";"2012605";"2013356";"2016JJ00";"1720"
"7626";"T001038";"52020";"2012605";"2013356";"2017JJ00";"1540"
"7627";"T001038";"52020";"2012605";"2013356";"2018JJ00";"1450"
"7628";"T001038";"52020";"2012605";"2013356";"2019JJ00";"1670"
"7629";"T001038";"52020";"2012605";"2013356";"2020JJ00";"1460"
"7630";"T001038";"52020";"2012605";"2013356";"2021JJ00";"1450"
"7631";"T001038";"52020";"2012605";"2013356";"2022JJ00";"1950"
"7645";"T001038";"52020";"2012605";"2013357";"2012JJ00";"10300"
"7646";"T001038";"52020";"2012605";"2013357";"2013JJ00";"9430"
